Release date,Title,Author,Price,Total sales (current month),Publisher
2022/06/20,Bring A Wolf Home [VertiComix](79),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/20,Bring A Wolf Home [VertiComix](80),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/27,Bring A Wolf Home [VertiComix](81),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/27,Bring A Wolf Home [VertiComix](82),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/27,Bring A Wolf Home [VertiComix](83),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/27,Bring A Wolf Home [VertiComix](84),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/27,Bring A Wolf Home [VertiComix](85),[author]Toumanwenhua,0.6,2,[publisher]KUAIKAN
2022/06/12,Mermaid’s Egg [VertiComix](93),[author]wan,0.6,1,[publisher]KUAIKAN
2022/06/12,Mermaid’s Egg [VertiComix](94),[author]wan,0.6,1,[publisher]KUAIKAN
2022/06/12,Mermaid’s Egg [VertiComix](95),[author]wan,0.6,1,[publisher]KUAIKAN
2022/06/12,Mermaid’s Egg [VertiComix](96),[author]wan,0.6,1,[publisher]KUAIKAN
2022/06/24,A Sheep in Wolf Clothing [VertiComix](41),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/06/24,A Sheep in Wolf Clothing [VertiComix](42),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/06/24,A Sheep in Wolf Clothing [VertiComix](43),[author]Heiquan : Baidian,0.6,1,[publisher]KUAIKAN
2022/06/11,Captured Crown Prince [VertiComix](56),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/11,Captured Crown Prince [VertiComix](57),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/11,Captured Crown Prince [VertiComix](58),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/11,Captured Crown Prince [VertiComix](59),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/11,Captured Crown Prince [VertiComix](60),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
